title,city,region,category,subcategory,description
"Torba podróżna do samolotu, bagaż podręczny",Podlaskie,Białystok,Sport i Hobby,Turystyka,"Sprzedam granatową torbę podróżną samolotową, odpowiadającą wymiarom Ryanair. Torba w idealnym stanie, bez śladów użytkowania."
Koszula Molton,Mazowieckie,Warszawa,Moda,Ubrania,"Piękna wrzosowa bluzka koszulowa z krótkim rękawem, zakończona nietypowymi bufkami. Odcinana pod biustem, z zakładkami do dołu. Zapinana na piękne guziczki, materiał lekko połyskujący i rozciągliwy."
"Piękny zestaw w idealnym stanie,dowóz w cenie. Zamienię.",Mazowieckie,Piaseczno,Dom i Ogród,Komplety mebli,"Witam oferuję piękny zestaw ,rozkładany,rodzinny,praktyczny stół  z 6  krzesłami w pięknym obiciu nie brudzącym . Stół o wymiarach 160x90cm,po rozłożeniu 200x90cm. Zestaw jest  w idealnym stanie zakupiony 7 mcy temu. .Zapraszam do obejrzenia w rzeczywistości . Oferuję transport  (od ręki-posiadam busa)  w okolicy Piaseczna i Warszawy. Czekam na  rozsądne propozycje zamiany.Polecam."
organy antonelli golden organ 2550,Pomorskie,Słupsk,Muzyka i Edukacja,Instrumenty,stare organy antonelli-sprawne-sprzedam lub zamienie
Sprzedam telewizor DAEWOO,Wielkopolskie,Słupca,Elektronika,Telewizory,"Sprzedam telewizor marki DAEWOO. Jest sprawny, ma 29 cali. Można dzwonić"
"Andro_Alpha 35 jak 34 buty do tenisa stołowego j.Donic,Butterfly",Podkarpackie,Brzozów,Sport i Hobby,Obuwie sportowe,Sprzedam buty dziecięce do tenisa stołowego Andro Alpha Step rozmiar 35 wkładka mierzona 22 cm buty z oryginalnym (nieco sfatygowanym) pudełkiem kupione w sklepie Aga Sport. Mam też koszulkę Donic na rozmiar 128/134 nowy model.
Drukarka/Skaner Canon Pixma MG3550,Wielkopolskie,Wągrowiec,Elektronika,Drukarki i skanery,Witam . Interesuje mnie sprzedaż lub zamiana. Propozycje priv.
String Art Legia,Łódzkie,Wieluń,Dom i Ogród,Dekoracje,Sprzedam obraz wykonany metodą String Art . Widoczny na zdjęciu.
Zamienię psp3004 na psvita,Małopolskie,Wadowice,Elektronika,Gry i Konsole,Zamienię psp3004 z brakującym analogiem lecz da się dalej kontrolować bez problemu.psp posiada tez lekko pękniętą klapkę na umd lecz to w niczym nie przeszkadza.technicznie jest w stanie idealnym.dorzucam tez ładowarkę.psp nie posiada karty Memory stick ktora można dokupić.zamienię na każdy inny psvita. Dorzucam tez grę daxter Little big planet i film szklana pulapka po angielsku.chetnych proszę o kontakt pod numer
"Piękny zestaw w idealnym stanie,dowóz w cenie. Zamienię.",Mazowieckie,Piaseczno,Dom i Ogród,Komplety mebli,"Witam oferuję piękny zestaw ,rozkładany,rodzinny,praktyczny stół  z 6  krzesłami w pięknym obiciu nie brudzącym . Stół o wymiarach 160x90cm,po rozłożeniu 200x90cm. Zestaw jest  w idealnym stanie zakupiony 7 mcy temu. .Zapraszam do obejrzenia w rzeczywistości . Oferuję transport  (od ręki-posiadam busa)  w okolicy Piaseczna i Warszawy. Czekam na  rozsądne propozycje zamiany.Polecam."
kurtka narcirska,Śląskie,Jaworzno,Dla Dzieci,Ubranka dla dzieci,Sprzedam super modną i ciepłą kurtkę na zimę. Świetnie nadaje się na narty jaki i na figle po śniegu. Stan Bardzo dobry. POLECAM!!
Estee Lauder serum krem clear difference lub sprzedam negocjacja!!!,Śląskie,Tarnowskie Góry,Moda,Kosmetyki i perfumy,Do sprzedania mam serum Estee Louder new CLEAR DIFFERENCE 50ML niestety nietrafiny prezent poniewaz moja cera nie ma problemow z tradzikiem.
Szafka na buty wenge,Śląskie,Ruda Śląska,Dom i Ogród,Pozostałe meble,"Sprzedam pojemna szafkę na buty w kolorze wenge. Składa się ona z szuflady oraz dwóch przegród na buty, każda przedzielona półka."
Merida Matts 20 - V,Wielkopolskie,Środa Wielkopolska,Sport i Hobby,Rowery,Witam mam do zaoferowania rower męski Merida Matts 20 - V.
Kozaczki i pantofelki,Łódzkie,Łęczyca,Moda,Buty,"Sprzedam lub zamienię kozaczki i pantofelki buciki nie są zniszczone ,w pantofelkach są metalowe fleki"
body roz 86/92 za jajko niespodzianka,Lubelskie,Lublin,Dla Dzieci,Ubranka dla dzieci,cena 3zł lub jajko niespodzianka
Sukienka,Mazowieckie,Pruszków,Moda,Ubrania,Witam!
Zielony sweterek,Podkarpackie,Leżajsk,Moda,Ubrania,Klasyczny i zielony sweterek z brązowymi łatkami na łokciach. Sweterek firmy Massimo Dutti. Nie zniszczony.
Amortyzator napinacza VOLVO RENAULT,Lubelskie,Biała Podlaska,Motoryzacja,Osobowe,Mam do sprzedania amortyzator napinacza do VOLVO V40 S40 RENAULT.
Odkurzacz piorący Zelmer,Pomorskie,Gdańsk,Dom i Ogród,Sprzęt AGD,Mam na sprzedaz odkurzacz Zelmer AQUAWELT ZVCT862ST
Xbox One Kinect GTA V Battle Field 1 Tomb raider Fifa 17 Assassin,Śląskie,Sosnowiec,Elektronika,Gry i Konsole,Konsola Xbox ONE dysk 500 Gb .Stan Bardzo Dobry.Pudełko Gwarancja.
Kurtka Cropp,Warmińsko-mazurskie,Olsztyn,Moda,Ubrania,Kurtka Cropp rozmiar M
Spodnie dresowe ZARA rozm 18-24m-ca,Opolskie,Opole,Dla Dzieci,Ubranka dla dzieci,Sprzedam spodenki dresowe Zara rozm 18-24m-ca w dobrym stanie. Minus za małą dziurkę obok kieszeni.
koszulka Reserved rozm. 122,Śląskie,Sosnowiec,Dla Dzieci,Ubranka dla dzieci,"Sprzedam koszulkę Reserved, rozm. 122. Wymiary: dł. 45 cm, szer. 36 cm. Stan bardzo dobry."
Tunika rozmiar XL,Śląskie,Bielsko-Biała,Moda,Ubrania,Zamienię widoczną na zdjęciu bluzkę. Nie wysyłam
Sukienka tunika Intimissimi s,Kujawsko-pomorskie,Bydgoszcz,Moda,Ubrania,Piękna sukienka tunika firmy Intimissimi roz 36 s z lekkim brokatem przepiękna
"Markowe kurtki, płaszcze, torebki, buty, spodnie, swetry i inne...",Pomorskie,Gdynia,Moda,Ubrania,"WYMIENIĘ na coś co wpadnie mi w oko (ubrania w rozmiarze S-M, buty 37-38 lub torebki)"
"Top, koszulka na ramiączka, 2 sztuki",Łódzkie,Łódź,Moda,Ubrania,Witam
dla noworodka rampers spodenki niedrapki zestaw,Łódzkie,Skierniewice,Dla Dzieci,Ubranka dla dzieci,Sprzedam ubranka dla dziewczynki w rozmiarze 56-62
porcelana kahla ddr,Warmińsko-mazurskie,Mrągowo,Sport i Hobby,Kolekcje,sprzedam to co na foto stara porcelane ddr kahla bez uszczerbien w stanie jak na foto czajniczek i spodek moge zamienic na cos innego z staroci
Buciki,Warmińsko-mazurskie,Ełk,Dla Dzieci,Buciki,Zamienie na pampersy pomarańczowe 5 rozmiar 25 zalezy od nóżki dziecka i buciki z ksiazniczkami stan bardzo dobre
Ubranaka dla chłopca,Mazowieckie,Warszawa,Dla Dzieci,Ubranka dla dzieci,Zamienię na coś co mnie zainteresuje bądź coś dla dziecka
Kosmetyki L\,Śląskie,Dąbrowa Górnicza,Moda,Kosmetyki i perfumy,Zamienię bądź sprzedam kosmetyki nowe i używane.
Kontrabas 4/4,Łódzkie,Zduńska Wola,Muzyka i Edukacja,Instrumenty,"Mam do sprzedania widoczny na zdjęciu kontrabas niemiecki. Stan bardzo dobry. Wysokość całkowita 184 cm, pudło 112 cm, menzura 106 cm ,możliwosc  zamiany tubę helikon  saksofon barytonowy."
"kosiarka dyskowa czołowa Fella SM 310 FZ (nie claas, kuhn, pottinger)",Warmińsko-mazurskie,Nidzica,Rolnictwo,Kosiarki,"kosiarka czołowa w bardzo dobrym stanie po sezonie zmienione łożyska na kondycjonerze oryginalne koszt 500zł, przygotowana pod siebię, kondycjoner nie pogięty w stanie idealnym wymienione 4 zęby na nowe, nowy trójkąt zaczepowy ponieważ zakupiłem bez, wałek ze sprzęgłem w komplecie, koszt samego takiego wałka to 1700zł, szybka wymiana noży (klucz w komplecie), podnoszenie i opuszczanie hydrauliczne co pozwala na szybka i komfortową pracę, wymagane jedno wyjście hydrauliczne na przedni tuz, posiada światła obrysowe, śruba rzymska pozwalająca na dokładniejsze zgranie kosiarki z druga zaczepianą z tyłu ciagnika małe zapotrzebowanie mocy pracował przy niej ciągnik renault ares o mocy 125km przy zapiętej jednoczesnie kosiarce bocznej i bez problemu radził sobie w trawie do pasa,kosiarka zakupiona we Francji pracowała u mnie jeden sezon sprzedaję z powodu likwidacji produkcji zwierzęcej. sto procent sprawna gotowa do pracy zapraszam na oględziny. tel"
Sprzedam ładny Żyrandol,Wielkopolskie,Szamotuły,Dom i Ogród,Oświetlenie,Sprzedam ładny Żyrandol  odbiór osobisty
"9 zabytkowych filizanek,.sygnowane",Pomorskie,Gdańsk,Sport i Hobby,Kolekcje,Filiżanki D&amp;G 9 szt bez spodkow.
motorola radius p110 razy trzy warto,Dolnośląskie,Bolesławiec,Elektronika,MP3 i sprzęt audio,trzy motorolki VHF z nowymi accu   ładowarkami procesorowymi  i z zasilaczami za wywoławczo 850 zł     chodza na jednej czestotliwosci  tylko tel lub sms wyjatkowo e mail nie odpisuje
harlequiny seria czerwona zam/sprz 50gr/szt,Mazowieckie,Warszawa,Muzyka i Edukacja,Literatura,spis tytułów dla zainteresowanych.odbiór na jelonkach
Paka ciuchow s/m,Wielkopolskie,Poznań,Moda,Ubrania,Zamienie pake ciuchow rozmiar s/m
Pralka BEKO WML 15086P,Opolskie,Opole,Dom i Ogród,Sprzęt AGD,Witam.
zegar kominkowy zabytek,Opolskie,Prudnik,Dom i Ogród,Dekoracje,witam posidam do zamiany sprzedania zegar kominkowy produkcji polskiej firmy metron pamietam ze kiedys byl sprawny ale brat pozbawil go wskazówkek od tego czasu stojijako zabytekwyprodukowany w roku 1966r
Bluzka tunika,Zachodniopomorskie,Szczecin,Moda,Ubrania,Nie wysyłam.
Koszula Reserved roz. M,Mazowieckie,Warszawa,Moda,Ubrania,Sprzedam koszule w stanie idealnym roz. M regular fit. Zapraszam na inne moje ogłoszenia możliwość wysyłki.
Zamienię Plakaty,Małopolskie,Proszowice,Sport i Hobby,Kolekcje,"Witam zamienię plakaty na plakaty z Dawidem Kwiatkowskim,Saszan,Austinem Mahone albo z YouTuberami np ReZi,Masterczułek,Banshee,JDabrowsky,Stuu,Naruciak,Skkf,Multi lub naklejki z gwiazdami lub YouTuberami z gazety Bravo Stickers"
elastyczne jeansy marki F&amp;amp;F rozmiar 42-44,Małopolskie,Kraków,Moda,Ubrania,elastyczne jeansy marki F&amp;F limited edition.
Pocałunki na Manhattanie - David Schickler,Śląskie,Dąbrowa Górnicza,Muzyka i Edukacja,Literatura,Opis książki:
Koszule meskie,Mazowieckie,Warszawa,Moda,Ubrania,Koszule męskie
Kurtka w kratę zimowa,Opolskie,Nysa,Moda,Ubrania,Wymienie zimową kurtkę w kratę
"zamienię nowe zabawki dziecięce w zamian za złom, zużyty sprzęt itp.",Śląskie,Chorzów,Dom i Ogród,Sprzęt AGD,"oferuję nowe zabawki dziecięce (upominki) dla chłopczyka i dziewczynki w wieku od 1-10 lat zamienię na złom każdego rodzaju : agd , komputerowy , rtv , sportowy , różne śmieci , meble , rzeczy które chcesz wyrzucić."
rękawiczki komunijne,Łódzkie,Tomaszów Mazowiecki,Dla Dzieci,Ubranka dla dzieci,zamienię za ptasie mleczko sprzedam za 10zł rękawiczki komunijne
Zamienie na migomat,Warmińsko-mazurskie,Nowe Miasto Lubawskie,Dom i Ogród,Narzędzia,Witam posiadam vectre b 1.8 16 98 rok benzyna z gazem zamienię na migomat minimum 300 A propozycje proszę pisać tylko OLX
Quiksilver kurtka,Mazowieckie,Warszawa,Moda,Ubrania,"Kurtka Quiksilver prawie nieużywana, na wiek 12 lat."
Fioletowa bokserka,Podlaskie,Białystok,Moda,Ubrania,"Stan idealny , bez wad"
W. Bartoszewski. Środowisko naturalne. Korzenie.,Mazowieckie,Warszawa,Muzyka i Edukacja,Literatura,"Wladyslaw Bartoszewski, spisal Michal Komar. Polecam"
Jade Empire ed. Specjalna na inną jakąś.,Dolnośląskie,Legnica,Elektronika,Gry i Konsole,Wymienię ed. Specjalną gry Jade Empire na inną.
"Różne bluzki, koszulki, T-shirt-y kilka modeli",Warmińsko-mazurskie,Iława,Moda,Ubrania,"Zamienię T-shirt. 8 różnych koszulek, w różnych kolorach i fasonach. Rozmiar między  S a M."
Archiwalne nr.moto magazyn 1996r. Auto swiat 1998r,Śląskie,Żywiec,Muzyka i Edukacja,Czasopisma,Witam zamienie lub sprzedam pare archiwalnych nr.moto magazyn auto swiat... to co na zdjeciach
Meblościanka stan bardzo dobry,Małopolskie,Kraków,Dom i Ogród,Komplety mebli,"Meblościanka jak na zdjęciach. Stan bardzo dobry, używana przez krótki czas przez starszą osobę,"
Matowa szminka w pisaku,Łódzkie,Głowno,Moda,Kosmetyki i perfumy,Matowa szminka w pisaku . Mało używane. Zapraszam do zakupu odbiór osobisty lub możliwa wysyłka.:)
Buty Vans,Warmińsko-mazurskie,Ełk,Sport i Hobby,Obuwie sportowe,Zamienię na cos innego obuwie firmy Vans.  Rozmiar 38/39 . Ewentualnie sprzedam Cena 20 zł
Tablet,Kujawsko-pomorskie,Bydgoszcz,Elektronika,Tablety,Tablet tab 3 stan bd osiem cali wejście na sim i ma kartę pamięci funkcja rutera
Neonowa spódniczka,Łódzkie,Łódź,Moda,Ubrania,"Neonowa spódniczka, założona tylko raz do zdjęć więc praktycznie nowa. Zamienię na coś co mnie zainteresuje. Przy wymianie nie wysyłam pierwsza :)"
kozaki skora roz 36,Małopolskie,Trzebinia,Moda,Buty,kozaki roz 36  skora  j nowe  zamienie  za  karme  dla  zwierzaka  pis  kot
smartwach leno 360 zamiana za lustrzanke,Lubelskie,Zamość,Elektronika,Fotografia,stan jak nowy.wszystkie informacje telefonicznie udzielę. najlepiej nikon same body model d3000
Sekrety kuchni mikrofalowej,Mazowieckie,Warszawa,Muzyka i Edukacja,Poradniki i albumy,Witam do oddania książka kucharska stan bardzo dobry zapraszam na wymianę za  czekolade z orzechami
Ksiązki kucharskie - cena za sztukę.,Pomorskie,Rumia,Muzyka i Edukacja,Literatura,Sprzedam nieużywane książki kucharskie - leżały na półce...Cena jest za sztukę.
"Piękny zestaw w idealnym stanie,dowóz w cenie. Zamienię.",Mazowieckie,Piaseczno,Dom i Ogród,Komplety mebli,"Witam oferuję piękny zestaw ,rozkładany,rodzinny,praktyczny stół  z 6  krzesłami w pięknym obiciu nie brudzącym . Stół o wymiarach 160x90cm,po rozłożeniu 200x90cm. Zestaw jest  w idealnym stanie zakupiony 7 mcy temu. .Zapraszam do obejrzenia w rzeczywistości . Oferuję transport  (od ręki-posiadam busa)  w okolicy Piaseczna i Warszawy. Czekam na  rozsądne propozycje zamiany.Polecam."
"megaPaka --- biezlizna, getry itd.",Opolskie,Opole,Moda,Ubrania,"Oferuję biustonosze solidne, markowe, rajstopy nowe czarne, majteczki czarne"
Wieża SONY cmt-eh10,Wielkopolskie,Międzychód,Elektronika,MP3 i sprzęt audio,"Witam, mam na sprzedasz wieżę SONY cmt-eh10. Wieża sprawna. Do wieży jest również pilot. O więcej informacji proszę pytać."
Wtyka elektryczna,Lubelskie,Lublin,Dom i Ogród,Narzędzia,Zamienię taka wtyke na pieniądze masz taką zadzwoń
Jezdzik ciuchcia,Wielkopolskie,Krotoszyn,Dla Dzieci,Zabawki,Jezdzik jak nowy kupiony w zeszłym roku za 100zl. Synek wyrósł dlatego chciałabym go zamienić na paczkę pieluch z Biedronki koszt ok 28zl. Lub coś innego czekam na propozycje Jezdzik jak nowy. Proszę pisać przez olx lub sms dorzucam nowa grę &quot;złowić rybkę&quot; nie otwarta
Halemba - krótkie spodenki dla chłopca 2-3 lata (rozm. 92),Śląskie,Ruda Śląska,Dla Dzieci,Ubranka dla dzieci,Sprzedam 3 pary spodenek dla chłopca - w bardzo dobrym stanie:
Hinduizm indie Bhagavad-Gita Taka jaką jest indie,Opolskie,Opole,Muzyka i Edukacja,Literatura,"Gita została skomponowana prawdopodobnie między III a II w. p.n.e., stanowi niewielką część epickiego poematu - Mahabharaty. Uważana za świętą księgę hinduizmu, szczególnie ważna dla wisznuizmu. Bhagawadgita przez większość hindusów jest uważana za pismo święte, najbardziej reprezentatywne dla ich religii i filozofii."
podstawka pod telefon komórkowy,Mazowieckie,Warszawa,Elektronika,Akcesoria telefoniczne,podstawka pod telefon z miejscem na długopis oraz krokodylkiem na notatki/fotkę
Zabawki. Zestaw figurek pozytywka statek i inne. Tanio.,Śląskie,Zawiercie,Dla Dzieci,Zabawki,Witam.
Baleriny dziewczęce nr 37 kremowo - białe - okazja!,Pomorskie,Gdańsk,Moda,Buty,"Sprzedam eleganckie baleriny dziewczece (białe, lekko kremowe) w bardzo dobrym stanie. Mozliwa wysylka. Polecam."
Spaniel breton zamiana na cocker spaniel wyżeł,Mazowieckie,Białobrzegi,Zwierzęta,Pozostałe rasy,Zamienię spaniel breton na cocker spaniel jest to piesek z metryka urodzenia i książeczką zdrowia aktualną
Eleganckie bluzki z kołnierzykiem czekoladowa i biała -5zł/szt.,Śląskie,Sosnowiec,Moda,Ubrania,"Zamienię lub sprzedam eleganckie bluzki w rozmiarze L. Brązowa przymierzona podczas zakupu, potem okazało się, że jest za ciasna. Nie noszona więc jak nowa. Bluzka ma kolor brązowo-czekoladowy lekko mieniący się, wstawki są z takiej jakby drobnej siateczki. Rękawki 3/4 zakończone wiązaniem na sznureczek."
Sprzefaz wróżkę lps z świetlikiem,Mazowieckie,Płock,Dla Dzieci,Zabawki,Witam mam na sprzedaż figurkę lps wróżkę  z świetlikiem. Chętnych proszę o wiadomość albo telefon. Możliwy jest odbiór osobisty na terenie Płocka lub wysyłka.
Sprzedam krótki płaszczyk firmy Denim Co,Łódzkie,Bełchatów,Moda,Ubrania,"Sprzedam krótki płaszczyk w kolorze khaki firmy Denim Co. Stan płaszczyka idealny. Sprawdzi się super wiosną i jesienią. Płaszczyk bardzo miły w dotyku, z kapturem, rozmiar 12/40. Sprzedaję, gdyż jest dla mnie za ciasny."
Antyk kieszonkowy Junghans II wojna,Świętokrzyskie,Ostrowiec Świętokrzyski,Sport i Hobby,Kolekcje,Kieszonkowy zegarek srebrny próby 800 ze zloceniami Junghans otrzymany przez niemieckiego oficera za zdobycie Gliwic. Kawał historii.Zegarek sprawny na chodzie. 100% oryginał.Dewizka ze srebra. Zamienie lub sprzedam.
Zamienię oponę zimową 215/55 R16 Michelin,Lubuskie,Gorzów Wielkopolski,Motoryzacja,Opony,Witam.
Fioletowa bluzeczka,Śląskie,Mysłowice,Moda,Ubrania,"Elegancka, bd wygodna fioletowa bluzeczka. Zapinana z tyłu na guziczek z dodajacym uroku cekinem. Zakupiona w River Island. Stan jak nowa. Założona tylko raz na 3h. Zapraszam do wymiany; )"
Śpiwór niemowlęcy,Śląskie,Siemianowice Śląskie,Dla Dzieci,Pozostałe dla dzieci,Witam
Wprzedaż $$$$$ Zapraszam na inne moje aukcje $$$$,Wielkopolskie,Poznań,Elektronika,MP3 i sprzęt audio,kankan 3 monika taraban gramofon lida 2 anita wszytko co na zdjeciu sprzęt kompletny wymaga dopieszczenia wymienię na coś lub sprzedam   $$$$$ zapraszam na inne moje aukcje$$$$
Film Magic Mike,Wielkopolskie,Poznań,Muzyka i Edukacja,Filmy,Płyta w bardzo dobrym stanie.
"2 pok., Pabianicka, dobry standard oraz punkt komunikacyjny, warto!",Łódzkie,Łódź,Nieruchomości,Wynajem,"Świetne, 2 pokojowe mieszkanie o powierzchni 46 m2 wykończone w bardzo dobrym standardzie, w pełni wyposażone oraz położone w bardzo dobrym punkcie komunikacyjnym nieopodal Ronda Lotników Lwowskich, a dokładnie przy ul. Pabianickiej pomiędzy ul. Karpacką, a ul. Ciasną."
Kurtka Thomas&amp;amp;Friends rozmiar 86,Mazowieckie,Żyrardów,Dla Dzieci,Ubranka dla dzieci,"Kurtka z ulubioną lokomotywą z bajki Thomas &amp; friends dla chłopca w wieku 1,5 - 2 latka wzrost ok 90cm"
Matura na 100! - Korepetycje z matematyki,Wielkopolskie,Kalisz,Muzyka i Edukacja,Matematyka,Masz problemy z matematyką?
Bluzeczka Tally weil,Podlaskie,Białystok,Moda,Ubrania,Sprzedam lub zamienię. Po więcej informacji proszę pisać. Zapraszam również na inne ogłoszenia
Wielki Atlas Świata wydawnictwa Buchmann,Mazowieckie,Warszawa,Muzyka i Edukacja,Poradniki i albumy,Kompletny atlas swiata ze szczegolowym opisem wszystkich zakatkow ziemi. Ponad 300 stron. Nowy.
Wymienie sie!!!,Podkarpackie,Sanok,Moda,Ubrania,Wymienie sie. Wszystkie rzeczy w stanie idealnym!!!
sukienka,Podkarpackie,Dębica,Moda,Ubrania,sukienka bialo czarna z złotym zamkiem roz uniwersalny
Sukienka,Warmińsko-mazurskie,Elbląg,Moda,Ubrania,Stan dobry zamienie na 4 soczki gerber
zamienie buty,Podlaskie,Białystok,Moda,Buty,"zamienie buty zimowe rozmiar 38 cieple buty do lydki dopasowane do nogi,zamienie na inne buty torebke lub zaproponuj"
Sailor Moon Czarodziejka z Księżyca album Merlin 1994 naklejki,Dolnośląskie,Kłodzko,Sport i Hobby,Kolekcje,Witam!
Piankowe puzzle,Mazowieckie,Wołomin,Dla Dzieci,Zabawki,Pudełko z piankowymi puzzlami do maluszka 1-2 letniego. W dwóch rozmiarach. Idealne jako mata na ktorej dziecko sie bawi i rowniez do zbawy  w dopasowywanie elementów.stan jak na zdjeciach.
Futerał kabura na telefon samsung grand neo i9060 folia rysik,Małopolskie,Brzesko,Elektronika,Akcesoria telefoniczne,Sprzedam futerał czerwony nowy na telefon samsung grand neo i9060. Futerał nowy z nową folią i rysikiem. Mozliwa sprzedaz za 15zł z wysyłka
Torebka worek,Lubelskie,Tomaszów Lubelski,Moda,Dodatki,"Zamienie torebke worek w bardzo dobrym stanie,jest bardzooo pojemna :) wymienie na inną modna torbe :)"
Sukienka wiosenna w kwiaty rozm. S,Mazowieckie,Warszawa,Moda,Ubrania,Sprzedam lub zamienię!!!
Samsung Galaxy Note 2,Mazowieckie,Płock,Elektronika,Samsung,Witam posiadam Samsunga Galaxy Note 2 .
Bluzka biała w paski 42/44 xl,Małopolskie,Kraków,Moda,Ubrania,Biała bluzeczka w delikatne czarne paski rozmiar 42/44 - xl. Biust 56cmx2.
Ocieplana kurtka chłopięca,Mazowieckie,Warszawa,Dla Dzieci,Ubranka dla dzieci,Kurtka z kapturem rozmiar 128 na kożuszku w dobrym stanie
Oddam,Dolnośląskie,Strzegom,Zwierzęta,Akcesoria dla zwierząt,Oddam składaną materiałową budę dla małego psa w zamian za paczkę pielucho-majtek dla dzieci z biedronki
Nike AIR Force 2 rozm. 37/38,Podkarpackie,Jarosław,Moda,Buty,Buty sportowe firmy NIKE AIR Force 2 skórzane
nóż dla kolekcjonera,Śląskie,Bielsko-Biała,Sport i Hobby,Kolekcje,Leży mi w pudełku a może się komuś przyda. Zamienię na coś fajnego lub sprzedam za kwotę którą zaproponujesz
Drewniane wieszaki retro styl do decupage\,Łódzkie,Łódź,Dom i Ogród,Pozostałe dom i ogród,Zamienię na dużą czekoladę Nussbeiser - 10 drewnianych wieszaków. Do domu czy sklepu w stylu retro. Można je też wykorzystać do decupage'u (trzeba tylko chyba zdjąć lakier).
Szpilki River Island,Podkarpackie,Rzeszów,Moda,Buty,Zamienię lub sprzedam szpilki w kolorze pudrowego różu River Island rozmiarze 40
Karcher Zestaw do dużych śmieci 2.637-945 rura koncowka do odkurzacza,Pomorskie,Słupsk,Dom i Ogród,Sprzęt AGD,witam sprzedam nieuzywane
"Rozm.74-80,11 szt. Na mokre chusteczki",Pomorskie,Lębork,Dla Dzieci,Ubranka dla dzieci,"Ubranka dla chłopca, stan dobry i bardzo dobry. Polecam ZAMIENIĘ NA 2 PACZKI MOKRYCH CHUSTECZEK PAMPERS"
Spodnie spodenki r. 56 / 0-3 mc,Zachodniopomorskie,Szczecin,Dla Dzieci,Ubranka dla dzieci,"spodenki r.0-3mc, 56"
